Node,Lower,Upper
n201,1991.265968,2003.197131
n202,1987.676331,1999.861699
n203,1993.89759,2005.672652
n204,1982.536666,1997.027308
n205,1972.164517,1994.109622
n206,1964.944433,1985.375618
n207,1976.361149,1994.65708
n208,1986.222491,2001.936063
n209,1883.27919,1918.280311
n210,1977.527553,1997.579822
n211,1885.744635,1920.38977
n212,1905.381699,1940.084449
n213,1927.613256,1960.498075
n214,1888.10282,1922.476562
n215,1902.019373,1936.494377
n216,1941.396545,1969.87941
n217,1954.708011,1981.365869
n218,1951.652026,1979.612032
n219,1883.044995,1918.6159
n220,1930.624275,1961.66847
n221,1970.053411,1984.628475
n222,1972.435855,1986.829581
n223,1973.483907,1988.066078
n224,1988.268919,2001.331436
n225,1989.423453,2002.182916
n226,1990.343142,2003.073339
n227,1997.542303,2009.641745
n228,1975.603393,1987.91784
n229,1980.414129,1993.21133
n230,1984.208171,1996.473066
n231,1988.873469,2000.750087
n232,2002.513081,2010.19208
n233,1976.728909,1988.779549
n234,1977.539298,1989.477684
n235,1978.280587,1990.154376
n236,1985.280383,1997.499653
n237,1987.474629,1999.547029
n238,2006.398692,2011.584063
n239,1983.418555,1996.347727
n240,1989.880013,2001.944655
n241,1996.014456,2007.30654
n242,2003.605833,2010.188623
n243,2005.300742,2011.267217
n244,2007.538831,2012.467318
n245,1982.556969,1996.418836
n246,1989.712461,2002.139895
n247,1904.561292,1937.915024
n248,1915.57349,1944.703919
n249,1937.236026,1960.516492
n250,1940.383398,1963.06898
n251,1980.031849,1996.242755
n252,1983.522554,1998.741362
n253,1957.487703,1974.275492
n254,1959.670003,1976.318366
n255,1986.941173,1999.642218
n256,1994.45307,2005.943247
n257,1970.101302,1984.828658
n258,1976.542809,1990.716305
n259,1980.99819,1994.853592
n260,2004.352525,2012.791541
n261,1985.444092,1998.833453
n262,1992.524925,2004.320606
n263,1998.586082,2009.71061
n264,1977.886432,1992.337108
n265,1973.033918,1987.450317
n266,1978.909579,1992.640454
n267,1982.342452,1996.728681
n268,2005.097916,2011.359141
n269,1980.011493,1993.806819
n270,1958.904839,1975.331532
n271,1965.605315,1983.181244
n272,1967.467935,1981.546527
n273,1978.877788,1992.294195
n274,1982.793692,1995.226867
n275,1984.09183,1996.849489
n276,2006.391006,2013.75631
n277,1985.162163,1997.353113
n278,1970.846507,1983.871047
n279,1980.863624,1996.460476
n280,1974.222009,1986.166199
n281,1978.642496,1990.705718
n282,1979.852828,1992.117208
n283,1981.19612,1993.584764
n284,1990.382459,2001.088639
n285,1994.37829,2005.560697
n286,1976.430099,1988.016915
n287,1978.964288,1989.968122
n288,1980.763312,1991.423664
n289,1983.024391,1993.473361
n290,1987.529697,2000.60205
n291,1983.918709,1994.327743
n292,1988.715412,1998.903887
n293,1995.466175,2004.305958
n294,1981.723261,1992.620578
n295,1996.62168,2004.379026
n296,1997.682531,2004.978357
n297,1998.712562,2006.553455
n298,2003.57735,2009.467728
n299,1940.253645,1963.122345
n300,1945.056792,1968.303873
n301,1968.778908,1989.159376
n302,1976.064957,1994.442302
n303,1991.746738,2003.27137
n304,1946.092028,1969.78848
n305,1926.284539,1952.180266
n306,1934.928966,1957.283344
n307,1942.234354,1964.982612
n308,1955.386335,1977.833067
n309,1957.960908,1980.255446
n310,1937.657318,1959.280658
n311,1949.299754,1968.436196
n312,1957.668815,1979.596659
n313,1952.711478,1970.892459
n314,1954.884569,1972.359124
n315,1958.492758,1976.376537
n316,1988.59026,1999.166652
n317,1995.491104,2001.543634
n318,1992.291927,2003.676807
n319,1955.959549,1973.260124
n320,1961.612523,1977.190588
n321,1965.054134,1979.366659
n322,1967.972781,1982.51014
n323,1978.803577,1996.911616
n324,1975.032537,1989.081922
n325,1981.308724,1995.16595
n326,1993.930671,2003.977524
n327,1998.760835,2008.926377
n328,1977.193756,1991.395725
n329,1966.124411,1980.201686
n330,1974.354733,1990.142766
n331,1977.654328,1993.392893
n332,1967.197583,1981.132819
n333,1975.234232,1987.257166
n334,1976.360216,1988.096678
n335,1988.972338,2000.444124
n336,1992.971192,2003.626587
n337,1997.530412,2006.971354
n338,1991.222497,2002.891169
n339,1977.516121,1988.941181
n340,1978.622073,1989.779692
n341,1990.797114,2005.432393
n342,1979.648139,1990.532897
n343,1980.463316,1991.191676
n344,1981.232696,1991.809764
