Node,Lower,Upper
30348_1#18,2002,2002
30345_1#219,2003,2003
30224_1#258,2005,2005
30345_1#182,2002,2002
30602_1#42,2015,2015
30348_1#262,2009,2009
30134_6#165,2005,2005
30134_6#189,2005,2005
30602_2#167,2015,2015
30859_5#34,2008,2008
30602_2#181,2006,2006
30821_1#38,2013,2013
30821_1#176,2006,2006
31663_7#151,2014,2014
30602_1#1,2014,2014
30345_1#384,2006,2006
30821_1#20,2006,2006
30821_1#275,2004,2004
30224_1#164,2005,2005
30602_1#15,2010,2010
30602_1#205,2012,2012
30345_1#373,2009,2009
30348_2#84,2010,2010
30224_1#257,2017,2017
30345_1#104,2016,2016
30602_2#229,2015,2015
30859_5#369,2007,2007
30348_1#276,2004,2004
30348_1#343,2003,2003
30602_1#292,2008,2008
30602_1#134,2013,2013
31663_7#184,2014,2014
30602_2#144,2010,2010
30345_1#271,2016,2016
30602_1#84,2011,2011
30345_1#222,2013,2013
30134_6#188,2011,2011
30859_5#144,2006,2006
30348_2#349,2017,2017
30859_5#7,2007,2007
30602_2#378,2003,2003
30134_6#127,2013,2013
30348_2#365,2015,2015
30348_2#218,2017,2017
30224_1#249,2003,2003
30602_2#22,2012,2012
30224_1#23,2002,2002
30348_1#318,2005,2005
30821_1#11,2009,2009
30224_1#260,2010,2010
30602_2#92,2011,2011
30345_1#181,2012,2012
30345_1#313,2010,2010
30348_1#307,2005,2005
30602_1#157,2005,2005
30345_1#27,2012,2012
30602_1#239,2010,2010
30821_1#97,2013,2013
Root,1043.968445,1728.343467
n1,1397.996262,1831.589557
n2,1777.394236,1941.849279
n3,1857.678957,1965.288382
n4,1887.822421,1975.101409
n5,1846.596755,1962.409762
n6,1860.903074,1967.46379
n7,1897.734203,1979.457615
n8,1977.693261,2001.091526
n9,1882.891785,1973.00763
n10,1885.988585,1974.025803
n11,1924.233699,1989.219895
n12,1898.590032,1978.045915
n13,1906.546064,1980.893317
n14,1965.399976,1996.658605
n15,1982.884015,2003.512727
n16,1985.393505,2004.351624
n17,1993.082676,2009.16395
n18,1967.947,1997.354426
n19,1972.517445,1998.862963
n20,2000.236087,2003.975534
n21,1980.600904,2001.96067
n22,1986.282023,2004.970914
n23,1941.1063,1990.738604
n24,1948.755504,1994.14526
n25,1961.355453,1998.948785
n26,1943.968634,1991.602171
n27,1965.882378,1996.770402
n28,1984.820201,2004.679178
n29,1987.045353,2005.447507
n30,1972.738926,1998.634508
n31,1987.33097,2002.031634
n32,2006.6068,2012.715013
n33,1911.346285,1982.48298
n34,1961.719884,1999.541331
n35,1968.360717,2001.680257
n36,1974.181719,2003.961192
n37,1988.768337,2008.385783
n38,1920.136023,1985.561523
n39,1924.989735,1987.349591
n40,1927.762739,1988.453048
n41,1972.652591,2000.687027
n42,1979.587132,2004.420619
n43,1990.720277,2010.386893
n44,1190.291467,1771.697252
n45,1860.212085,1967.818934
n46,1956.364135,1996.742795
n47,1915.753774,1984.328026
n49,1948.722819,1995.933992
n50,1499.470249,1864.416136
n51,1618.625818,1899.278375
n52,1947.543515,1998.122716
n53,1810.016267,1954.959819
n54,1886.11964,1977.254234
n55,1888.901652,1978.321931
n56,1954.01756,1999.634716
n48,1996.15104,2001.963315
