Node,Lower,Upper
n59,1869.884042,1960.900948
n60,1888.214471,1966.771501
n61,1898.054218,1970.653293
n62,1907.490765,1974.809753
n63,1924.060934,1981.126849
n64,1937.085759,1986.142546
n65,1939.687089,1987.272814
n66,1979.874845,2002.254202
n67,1986.968735,2004.641506
n68,2000.198008,2006.940146
n69,1949.387731,1991.68136
n70,1992.720674,2014.175273
n71,1975.366744,1999.716227
n72,1994.38644,2006.252144
n73,1928.016845,1983.389619
n74,1921.95318,1983.411738
n75,1935.772768,1990.656791
n76,1893.198671,1969.027014
n77,1928.165476,1986.929074
n78,1952.371033,1999.653962
n79,2006.118516,2013.94321
n80,1958.509452,1998.60889
n81,1962.445312,2000.971882
n82,1897.2869,1970.662504
n83,1912.255942,1977.256244
n84,1923.993714,1982.360709
n85,1935.904633,1987.526551
n86,1974.785749,2001.650071
n87,2005.280316,2009.970818
n88,1979.113468,2003.135952
n89,1949.162979,1994.10703
n90,1960.466799,2000.904278
n91,1931.901041,1986.831643
n92,1993.248846,2010.817727
n93,1917.395191,1980.110052
n94,1996.997254,2001.9712
n95,1017.944732,1655.516005
n97,1347.688577,1777.724408
n98,1734.072455,1925.868836
n99,1915.183518,1989.469931
n100,1579.979569,1862.788355
n101,1603.188468,1871.634212
n96,1587.91847,1877.570343
