Node,Lower,Upper
30602_2#41,2013,2013
30348_1#207,2017,2017
30348_2#59,2016,2016
30224_1#348,2008,2008
30602_1#139,2015,2015
30348_1#194,2016,2016
30345_1#183,2011,2011
30345_1#64,2004,2004
30345_1#278,2015,2015
30134_6#99,2004,2004
30134_6#267,2004,2004
30348_2#109,2013,2013
30348_1#235,2017,2017
30345_1#108,2017,2017
30602_1#258,2013,2013
30602_2#358,2004,2004
30859_5#291,2012,2012
30224_1#244,2012,2012
30348_1#123,2008,2008
30224_1#62,2007,2007
30602_6#95,2006,2006
30821_1#327,2013,2013
30821_1#297,2010,2010
30859_5#279,2008,2008
30134_6#125,2015,2015
30602_1#96,2005,2005
30602_2#64,2011,2011
30224_1#139,2006,2006
30224_1#237,2013,2013
30224_1#225,2005,2005
30348_1#31,2006,2006
30602_2#294,2016,2016
30859_5#201,2009,2009
30134_6#116,2010,2010
30134_6#132,2004,2004
30348_2#92,2011,2011
30859_5#215,2009,2009
30345_1#190,2013,2013
30345_1#116,2015,2015
30859_5#258,2014,2014
30602_1#326,2017,2017
30821_1#182,2012,2012
Escherichia_coli_str_K-12_substr_MG1655_v3,1922,1922
30348_1#174,2017,2017
30345_1#288,2005,2005
30134_6#336,2012,2012
30224_1#229,2006,2006
30345_1#68,2005,2005
30348_1#376,2003,2003
30348_1#75,2016,2016
30348_2#375,2002,2002
30821_1#214,2007,2007
30345_1#3,2014,2014
30859_5#169,2005,2005
30602_1#50,2012,2012
30348_2#280,2014,2014
30348_2#352,2012,2012
30348_2#235,2013,2013
30821_1#29,2007,2007
30348_1#354,2008,2008
30345_1#115,2008,2008
30224_1#256,2009,2009
30224_1#304,2007,2007
30602_2#141,2017,2017
30602_2#150,2017,2017
30134_6#30,2002,2002
30821_1#121,2007,2007
30821_1#292,2009,2009
30224_1#359,2007,2007
30345_1#193,2015,2015
30134_6#277,2007,2007
30821_1#254,2008,2008
30821_1#285,2013,2013
30602_2#159,2013,2013
30348_2#257,2014,2014
30602_2#91,2017,2017
30859_5#339,2005,2005
30345_1#206,2016,2016
30602_1#209,2013,2013
30134_6#83,2010,2010
30134_6#131,2010,2010
30821_1#202,2005,2005
30602_2#326,2016,2016
30134_6#2,2007,2007
30348_2#123,2017,2017
30134_6#285,2012,2012
30348_1#128,2014,2014
30345_1#124,2012,2012
30859_5#13,2015,2015
30348_2#41,2016,2016
30859_5#368,2006,2006
30859_5#343,2009,2009
30134_6#91,2002,2002
30134_6#123,2002,2002
30348_2#209,2016,2016
30348_1#86,2008,2008
30348_1#269,2003,2003
31663_7#304,2014,2014
30348_1#1,2004,2004
30348_2#18,2016,2016
30134_6#342,2008,2008
30348_1#334,2003,2003
30348_2#143,2015,2015
Root,149.6297173,1336.705194
n1,1503.510533,1825.672645
n2,1565.26671,1845.664727
n3,1631.980548,1875.75762
n4,1737.017405,1922.12879
n5,1888.079843,1984.313621
n6,1643.928478,1880.940734
n7,1663.104099,1889.067907
n8,1594.654823,1855.520668
n9,1637.870679,1874.952927
n10,1659.826983,1884.573847
n11,1712.538661,1906.211424
n12,1831.18123,1955.177159
n13,1999.082339,2003.970869
n14,1851.044863,1964.111655
n15,1784.032054,1935.465067
n16,1788.652832,1937.467291
n17,1852.616713,1962.782172
n18,1902.079206,1982.752846
n19,1624.79594,1865.985508
n20,1677.330143,1890.369976
n21,1757.507102,1925.794083
n22,1861.859824,1970.028679
n23,1648.452363,1873.790233
n24,1815.675024,1951.619073
n25,1680.410719,1883.525776
n26,1754.840715,1917.656136
n27,1768.692493,1923.684236
n28,1818.215541,1947.510464
n29,1964.859785,2001.252036
n30,1808.723513,1943.296296
n31,1760.122713,1919.918806
n32,1786.809328,1931.011934
n33,1805.41793,1938.319934
n34,1833.028227,1949.322263
n35,1843.818038,1953.468925
n36,1886.609127,1973.904048
n37,1969.695299,2002.420414
n38,1980.04814,2005.881144
n39,1871.122634,1966.68019
n40,1893.324151,1980.599406
n41,1689.290466,1886.515535
n42,1786.670896,1938.395819
n43,1707.18368,1892.342048
n44,1738.113217,1907.87686
n45,1772.976568,1922.888685
n46,1784.532204,1927.585034
n47,1821.329148,1945.417084
n48,1957.746503,2000.536333
n49,1798.090819,1933.729035
n50,1813.261464,1940.145235
n51,1821.881736,1943.639019
n52,1833.053701,1948.521029
n53,1890.530221,1971.463956
n54,1905.690537,1977.394093
n55,1914.308547,1981.462397
n56,1963.128583,1998.057181
n57,1943.61196,1995.270198
n58,1751.701206,1914.01389
