Node,Lower,Upper
30224_1#298,2013,2013
30602_1#196,2012,2012
30821_1#134,2009,2009
30602_2#206,2013,2013
30348_2#35,2017,2017
30348_2#103,2014,2014
30348_2#223,2012,2012
30224_1#333,2012,2012
30602_2#341,2012,2012
30602_1#346,2016,2016
30348_2#202,2013,2013
30348_2#168,2014,2014
30859_5#287,2012,2012
30224_1#38,2013,2013
30859_5#21,2017,2017
30859_5#96,2010,2010
30821_1#147,2006,2006
30602_1#259,2012,2012
30224_1#302,2014,2014
30602_2#276,2011,2011
30348_2#105,2013,2013
30859_5#40,2008,2008
30134_6#193,2008,2008
30345_1#377,2010,2010
30602_1#383,2013,2013
30348_1#166,2016,2016
30821_1#280,2013,2013
30348_2#44,2013,2013
30821_1#271,2013,2013
30602_6#35,2006,2006
30859_5#114,2010,2010
30602_1#34,2014,2014
30348_1#247,2008,2008
30859_5#94,2013,2013
30348_2#3,2012,2012
30348_2#144,2015,2015
30345_1#350,2016,2016
30602_2#55,2016,2016
30345_1#129,2014,2014
30348_2#374,2015,2015
30345_1#52,2016,2016
30348_2#5,2014,2014
30602_1#285,2017,2017
30602_1#8,2013,2013
30602_2#367,2017,2017
30348_1#267,2017,2017
30348_2#362,2017,2017
30345_1#273,2015,2015
30348_2#70,2014,2014
30602_2#329,2016,2016
30602_1#154,2012,2012
31663_7#85,2014,2014
30348_1#162,2016,2016
30345_1#194,2014,2014
30821_1#219,2012,2012
30859_5#254,2012,2012
30348_2#296,2015,2015
31663_7#153,2014,2014
30348_2#91,2016,2016
30859_5#383,2011,2011
30348_2#316,2012,2012
30821_1#256,2017,2017
30134_6#107,2014,2014
30348_1#187,2017,2017
30859_5#62,2010,2010
30348_1#3,2006,2006
30224_1#305,2013,2013
30224_1#351,2004,2004
30134_6#120,2011,2011
30348_1#50,2017,2017
30224_1#291,2007,2007
30348_1#66,2009,2009
30345_1#247,2002,2002
30134_6#95,2010,2010
30134_6#153,2002,2002
30224_1#251,2009,2009
30602_6#188,2014,2014
30134_6#254,2007,2007
30348_2#67,2017,2017
30348_2#231,2012,2012
30602_2#241,2016,2016
30821_1#59,2012,2012
30224_1#185,2003,2003
30602_2#279,2016,2016
30859_5#55,2007,2007
30348_1#231,2016,2016
30602_1#133,2009,2009
30602_1#340,2005,2005
30602_1#104,2009,2009
30348_2#55,2016,2016
30602_1#64,2005,2005
30602_1#204,2015,2015
30821_1#335,2004,2004
30602_1#214,2003,2003
30821_1#195,2013,2013
