Node,Lower,Upper
30345_1#11,2015,2015
30859_5#32,2014,2014
30224_1#355,2006,2006
30345_1#243,2016,2016
30345_1#303,2007,2007
30345_1#205,2015,2015
30345_1#188,2013,2013
30859_5#35,2015,2015
30602_1#2,2012,2012
30345_1#347,2004,2004
30602_1#347,2012,2012
30602_2#316,2012,2012
31663_7#288,2015,2015
30134_6#289,2015,2015
30602_2#361,2016,2016
30348_2#173,2016,2016
30859_5#68,2015,2015
30348_2#276,2014,2014
30345_1#170,2016,2016
30859_5#365,2013,2013
30348_2#118,2015,2015
30602_1#175,2015,2015
30602_2#199,2015,2015
30602_2#249,2015,2015
30134_6#309,2015,2015
30345_1#335,2016,2016
30348_2#290,2017,2017
30821_1#67,2013,2013
30602_2#215,2017,2017
30602_1#243,2011,2011
30602_1#357,2008,2008
30859_5#121,2009,2009
30348_2#254,2017,2017
30859_5#328,2012,2012
30348_2#113,2010,2010
30602_1#71,2012,2012
30859_5#285,2014,2014
30859_5#356,2012,2012
30348_1#126,2017,2017
30345_1#144,2015,2015
30821_1#6,2013,2013
30134_6#52,2012,2012
30859_5#236,2009,2009
30859_5#259,2014,2014
30859_5#308,2013,2013
30602_1#367,2015,2015
30348_2#26,2017,2017
30348_1#57,2017,2017
30602_2#207,2016,2016
30224_1#211,2007,2007
30348_1#188,2009,2009
30602_1#332,2013,2013
30602_1#364,2013,2013
30348_2#256,2014,2014
30602_1#14,2013,2013
30821_1#184,2012,2012
30348_1#5,2017,2017
30602_2#120,2016,2016
30224_1#308,2007,2007
30224_1#273,2013,2013
30134_6#208,2008,2008
30602_1#184,2011,2011
31663_7#59,2014,2014
30821_1#88,2015,2015
30224_1#201,2013,2013
30224_1#48,2006,2006
30602_2#140,2009,2009
30348_1#263,2016,2016
30348_1#299,2017,2017
30348_2#155,2016,2016
30345_1#119,2008,2008
30859_5#221,2014,2014
30345_1#224,2004,2004
30602_2#131,2015,2015
30602_1#337,2010,2010
30821_1#330,2016,2016
30602_1#152,2011,2011
30602_1#126,2012,2012
30602_2#163,2015,2015
30348_1#178,2017,2017
30859_5#73,2009,2009
30859_5#12,2014,2014
30348_2#371,2016,2016
30348_2#262,2016,2016
30345_1#77,2016,2016
30348_1#73,2017,2017
30859_5#281,2014,2014
30348_1#144,2017,2017
30602_2#198,2011,2011
30348_2#15,2015,2015
30134_6#119,2013,2013
30345_1#218,2013,2013
30348_2#14,2015,2015
30602_2#103,2009,2009
30348_1#152,2008,2008
30602_1#79,2013,2013
30821_1#255,2011,2011
30602_1#255,2012,2012
30345_1#43,2015,2015
30602_2#128,2017,2017
31663_7#204,2016,2016
30348_1#208,2017,2017
30348_2#124,2016,2016
30345_1#322,2016,2016
30348_2#95,2017,2017
30821_1#320,2013,2013
30134_6#287,2014,2014
30134_6#145,2014,2014
30134_6#255,2014,2014
30602_2#372,2016,2016
30348_2#339,2016,2016
31663_7#102,2015,2015
31663_7#9,2013,2013
30348_2#17,2014,2014
30348_1#43,2016,2016
30602_1#281,2016,2016
30348_1#146,2017,2017
30345_1#298,2017,2017
31663_7#135,2015,2015
30348_2#117,2011,2011
30821_1#252,2012,2012
30859_5#197,2014,2014
30602_2#254,2011,2011
30821_1#163,2013,2013
30859_5#129,2007,2007
30348_1#372,2010,2010
30348_1#89,2017,2017
31663_7#381,2015,2015
30224_1#313,2017,2017
30602_2#71,2009,2009
30859_5#364,2013,2013
30602_1#375,2012,2012
30859_5#29,2010,2010
30821_1#373,2006,2006
30224_1#383,2012,2012
30134_6#115,2012,2012
30859_8#141,2017,2017
30345_1#279,2017,2017
30348_1#379,2004,2004
30348_2#104,2017,2017
30821_1#175,2005,2005
30224_1#245,2002,2002
30345_1#330,2017,2017
30348_2#164,2014,2014
30224_1#172,2003,2003
30345_1#186,2003,2003
30602_2#308,2011,2011
30602_2#136,2009,2009
30602_2#201,2010,2010
30821_1#117,2015,2015
30859_5#136,2017,2017
30345_1#164,2015,2015
30821_1#274,2017,2017
30821_1#241,2005,2005
30859_5#301,2013,2013
30859_5#278,2017,2017
30348_1#259,2016,2016
30602_1#323,2013,2013
30821_1#356,2013,2013
30821_1#82,2005,2005
30345_1#46,2015,2015
30602_2#172,2009,2009
30224_1#102,2004,2004
30602_1#83,2010,2010
30602_2#70,2015,2015
30821_1#37,2017,2017
30859_5#17,2016,2016
30602_2#111,2011,2011
30345_1#226,2014,2014
30345_1#31,2013,2013
30821_1#162,2009,2009
30348_1#87,2010,2010
30348_1#195,2017,2017
30602_1#40,2006,2006
30602_1#109,2010,2010
30345_1#292,2006,2006
30345_1#36,2005,2005
30602_2#292,2015,2015
30859_5#11,2008,2008
30345_1#220,2011,2011
30602_1#44,2009,2009
30134_6#3,2011,2011
30134_6#360,2011,2011
Root,1872.633364,1920.268059
n1,1939.882892,1960.636035
n3,1991.806022,2005.143201
n4,1979.729768,1990.017214
n5,1980.592768,1990.597574
n6,1985.092951,1993.410125
n7,1987.87903,1997.642713
n8,1994.506702,2005.146591
n9,2000.466227,2010.22429
n10,1986.39461,1994.287984
n11,1988.919936,1996.01658
n12,1990.91288,1997.846942
n13,1993.693248,2001.908584
n14,2000.608978,2008.621735
n15,2001.368286,2008.93125
n16,2007.170593,2011.937415
n17,2007.970791,2012.34253
n18,1991.652782,1998.473284
n19,1996.178518,2002.221172
n20,1996.888443,2002.646062
n21,1999.151283,2003.813642
n22,2001.045524,2004.639811
n23,2001.98714,2006.673087
n24,2002.587142,2007.636794
n25,2002.972221,2008.332165
n26,2002.915365,2005.342968
n27,2003.359144,2005.523623
n28,2003.750868,2005.683858
n29,2004.152291,2005.817701
n30,2004.501266,2005.920828
n31,2004.967889,2008.395328
n32,1993.105846,2000.328105
n33,1998.704021,2006.984823
n34,2003.338475,2010.450095
n35,1991.386144,1998.03662
n36,1993.413594,1999.833196
n37,1993.984732,2000.305985
n38,1995.693071,2002.176523
n39,1998.809232,2006.522292
n40,1997.687989,2004.275399
n41,2002.108062,2007.339313
n42,1996.61239,2003.016035
n43,1998.441947,2004.260409
n44,1999.070703,2004.703823
n45,1999.688163,2005.379008
n46,2002.656779,2008.184667
n47,2004.365465,2009.90927
n48,2005.149309,2010.719546
n49,2006.904259,2012.674208
n50,2003.219184,2008.755141
n51,2004.924766,2010.916727
n52,1999.755497,2005.283683
n53,2001.599734,2006.5806
n54,2003.819333,2008.341252
n55,2004.444567,2009.166498
n56,2004.9967,2010.272637
n57,2006.107233,2011.454291
n58,2006.472615,2009.946295
n59,2007.420341,2011.314249
n60,2006.967687,2010.292845
n61,2007.51532,2011.400444
n62,2007.434252,2010.649862
n63,2007.936861,2011.190416
n64,2007.916147,2011.192016
n65,2002.387188,2007.449521
n66,2003.160352,2009.026242
n67,2003.611765,2008.814061
n68,1996.178988,2004.37895
n69,2005.443898,2012.603383
n70,1992.208212,1998.986542
n71,1995.661373,2001.693356
n72,1996.385019,2002.227263
n73,2000.533545,2003.798901
n74,1988.011853,1996.498718
n75,1982.279555,1992.864344
n76,1944.574289,1963.648064
n77,1962.287366,1983.289976
n78,1945.418198,1964.24835
n79,1949.912458,1967.758357
n80,1952.615685,1970.257914
n81,1960.945483,1977.464678
n82,1997.175816,2008.746474
n83,1961.759524,1978.174778
n84,1974.242993,1986.958681
n85,1975.063164,1987.564643
n86,1983.887162,1992.890783
n87,1986.282253,1995.499005
n88,1990.050386,2000.396067
n89,1984.969903,1993.648841
n90,1989.757843,1998.12989
n91,1992.911938,2000.672625
n92,1995.017602,2002.166961
n93,1998.108002,2004.002148
n94,1999.028984,2005.496809
n95,1990.624445,1999.176114
n96,1986.698455,1995.316314
n97,1988.197106,1996.854072
n98,1989.748357,1998.952184
n99,2006.674039,2012.95433
n100,1978.478509,1991.505868
n101,1956.020084,1973.758486
n102,1980.000607,1996.299097
n103,1971.800429,1986.043304
n104,1990.451653,2004.637078
n105,1978.383824,1989.96239
n106,1987.575755,1998.265192
n107,1989.600651,1999.776762
n108,1990.44188,2000.787277
n109,1984.773795,1993.499343
n110,1987.760421,1995.517692
n111,1988.959807,1996.319179
n112,1995.584337,2003.717904
n113,2001.06425,2007.096921
n114,2002.290179,2008.026138
n115,2003.214293,2009.237052
n116,2005.771167,2012.113611
n117,2003.089948,2008.866979
n118,2004.714455,2011.091504
n119,2004.333975,2010.376345
n120,2002.548821,2008.503663
n121,2004.556156,2010.488877
n122,2007.548364,2012.930885
n123,2012.681683,2014.893401
n124,1997.234477,2005.411859
n125,2000.6625,2009.237234
n126,2001.628814,2009.964271
n127,1989.507386,1996.708435
n128,1990.083129,1997.096879
n129,1990.639926,1997.49982
n130,1991.177854,1997.877228
n131,1994.53885,2002.954038
n132,1991.659588,1998.277427
n133,1992.192878,1998.760078
n134,1992.904487,1999.457988
n135,1994.330529,2000.897285
n136,2000.707356,2007.389892
n137,2002.511377,2009.404111
n138,1996.435349,2002.819865
n139,1997.068614,2003.352485
n140,2007.260263,2011.601318
n141,1998.729398,2004.738567
n142,2002.343793,2008.513076
n143,2004.43955,2010.339312
n144,2005.969737,2011.608747
n145,2000.436144,2006.372593
n146,2004.521872,2008.641381
n147,2007.955774,2012.252221
n148,1999.436045,2008.229801
n149,2000.1829,2008.928855
n150,2009.265108,2014.926525
n151,1993.283096,2000.032585
n152,2001.361098,2006.423176
n153,2001.916841,2007.014491
n154,1993.895341,2000.900607
n155,1995.24219,2002.969103
n156,1993.438152,2000.582403
n157,1994.190571,2001.455492
n158,1995.559752,2003.019217
n159,1996.282903,2004.1559
n160,1989.394038,1996.85626
n161,1993.170381,1999.92652
n162,1996.443497,2001.981764
n163,1998.256561,2003.69124
n164,1999.04684,2005.418294
n165,1998.971786,2004.301122
n166,2000.377696,2006.108429
n167,2001.053757,2007.250174
n168,2011.696406,2015.653581
n169,1997.253067,2002.658006
n170,2001.208306,2007.110499
n171,1995.680981,2002.956353
n172,1996.548151,2003.793836
n173,1997.39028,2004.899648
n174,1997.224806,2004.602181
n175,1990.757625,1997.885023
n176,1993.060032,2001.739821
n177,1997.606639,2006.35449
n178,1991.647584,1998.536734
n179,1992.353856,1999.055764
n180,2006.921226,2011.780686
n181,2008.48432,2012.515306
n182,2009.195463,2013.502757
n183,2009.120318,2012.919751
n184,2010.519793,2013.684837
n185,1994.197581,2000.243345
n186,1995.49829,2001.544448
n187,1996.721987,2003.262541
n188,1997.34971,2004.237766
n189,2011.468535,2012.98917
n190,1996.187435,2002.295827
n191,1997.698125,2003.883062
n192,2001.393119,2007.685341
n193,1998.481227,2004.902708
n194,1995.045573,2000.908988
n195,1997.432227,2004.928825
n196,1999.354528,2007.013822
n197,2003.270468,2010.287757
n198,2005.49795,2012.531317
n199,2004.010549,2011.100893
n200,1996.23076,2001.859653
n201,1998.444041,2004.09885
n202,2005.263979,2013.10403
n203,2000.41453,2005.604765
n204,2001.784264,2006.630629
n205,2003.123096,2007.603073
n206,2010.778288,2013.577527
n207,2012.878369,2013.991885
n208,2004.508863,2008.490883
n209,2006.190779,2011.240962
n210,2006.92555,2012.183681
n211,2005.036001,2008.856026
n212,2005.610507,2009.879606
n213,2005.532387,2009.235605
n214,2006.093355,2010.486194
n215,2006.016074,2009.634047
n216,2007.499941,2011.939121
n217,2008.90489,2013.564457
n218,2007.965232,2010.745051
n219,2001.088446,2006.575738
n220,2007.099773,2010.71333
n221,1996.965827,2002.618426
n222,1999.231729,2004.708437
n223,2001.25718,2007.331519
n224,2003.115766,2010.053302
n225,2001.207249,2006.373024
n226,2001.933761,2007.251761
n227,2001.904039,2007.0973
n228,2004.932469,2009.372667
n229,1946.507693,1965.397909
n230,1957.035078,1977.14201
n231,1993.59485,2006.901561
n232,1946.90284,1967.256106
n233,1995.171328,2002.110816
n234,1997.740576,2003.115257
n235,2000.069113,2004.570133
n236,1975.274595,1986.464451
n237,1980.201698,1993.057041
n238,1976.111521,1987.011776
n239,1988.388357,1998.031323
n240,1989.248206,1998.624179
n241,1976.859204,1987.56137
n242,1979.907673,1990.64577
n243,2004.601733,2008.440136
n244,2005.610516,2008.750261
n245,1983.811343,1994.314503
n246,1988.462052,1998.430654
n247,1994.45902,2004.897615
n248,2004.302278,2012.557427
n249,1996.639712,2007.064548
n250,1992.500898,2001.90734
n251,1984.668242,1995.321489
n252,1989.390052,2001.085588
n253,2002.900401,2010.676655
n254,1982.168176,1991.900322
n255,1986.130074,1994.585909
n256,1987.204013,1995.925356
n257,1992.320859,2000.482953
n258,1994.49426,2003.537455
n259,1993.118992,2001.205726
n260,1993.076173,2004.758469
n261,1987.529773,1995.736509
n262,1989.485356,1998.010492
n263,1990.814634,1999.439104
n264,1993.633623,2002.566052
n265,2002.579684,2008.31965
n266,1992.518274,1999.343559
n267,1993.3743,1999.872867
n268,1995.483358,2001.463491
n269,1996.328862,2002.70996
n270,1996.726174,2002.560111
n271,1997.68663,2003.75031
n272,1996.009886,2002.596946
n273,1998.273856,2005.30643
n274,1996.845047,2003.541382
n275,1998.390846,2005.279921
n276,2009.456336,2010.989603
n2,1978.081009,1989.042672
